שם_ישוב,שם_ישוב_לועזי
עין תמר ,EN TAMAR 
עין ורד ,EN WERED 
עין יעקב ,EN YA'AQOV 
עין יהב ,EN YAHAV 
עין זיוון ,EN ZIWAN 
עין צורים ,EN ZURIM 
עינת ,ENAT 
ענב ,ENAV 
ארז ,EREZ 
אשבול ,ESHBOL 
אשל הנשיא ,ESHEL HANASI 
אשחר ,ESHHAR 
אשכולות ,ESHKOLOT 
אשתאול ,ESHTA'OL 
איתן ,ETAN 
איתנים ,ETANIM 
אתגר ,ETGAR 
אבן מנחם ,EVEN MENAHEM 
אבן ספיר ,EVEN SAPPIR 
אבן שמואל ,EVEN SHEMU'EL 
אבן יהודה ,EVEN YEHUDA 
גלעד (אבן יצחק) ,EVEN YIZHAQ(GAL'ED) 
עברון ,EVRON 
אייל ,EYAL 
עזר ,EZER 
עזוז ,EZUZ 
פסוטה ,FASSUTA 
פוריידיס ,FUREIDIS 
געש ,GA'ASH 
געתון ,GA'TON 
גדיש ,GADISH 
גדות ,GADOT 
גלאון ,GAL'ON 
גן הדרום ,GAN HADAROM 
גן השומרון ,GAN HASHOMERON 
גן חיים ,GAN HAYYIM 
גן נר ,GAN NER 
גן שלמה ,GAN SHELOMO 
גן שמואל ,GAN SHEMU'EL 
גן שורק ,GAN SOREQ 
גן יבנה ,GAN YAVNE 
גן יאשיה ,GAN YOSHIYYA 
גני עם ,GANNE AM 
גני הדר ,GANNE HADAR 
גני מודיעין ,GANNE MODIIN 
גני טל ,GANNE TAL 
גני תקווה ,GANNE TIQWA 
גני יוחנן ,GANNE YOHANAN 
גנות ,GANNOT 
גנות הדר ,GANNOT HADAR 
גת רימון ,GAT RIMMON 
גת (קיבוץ) ,GAT(QIBBUZ) 
גזית ,GAZIT 
גיאה ,GE'A 
גאליה ,GE'ALYA 
גאולי תימן ,GE'ULE TEMAN 
גאולים ,GE'ULIM 
גדרה ,GEDERA 
גפן ,GEFEN 
גליל ים ,GELIL YAM 
גרופית ,GEROFIT 
גשר ,GESHER 
גשר הזיו ,GESHER HAZIW 
גשור ,GESHUR 
גבע ,GEVA 
גבע כרמל ,GEVA KARMEL 
גבע בנימין ,GEVA BINYAMIN 
גבעות בר ,GEVA'OT BAR 
גברעם ,GEVAR'AM 
גבת ,GEVAT 
גבים ,GEVIM 
גבולות ,GEVULOT 
גזר ,GEZER 
ע'ג'ר ,GHAJAR 
גיבתון ,GIBBETON 
גדעונה ,GID'ONA 
גילת ,GILAT 
גלגל ,GILGAL 
גילון ,GILON 
גמזו ,GIMZO 
גינתון ,GINNATON 
גיניגר ,GINNEGAR 
גינוסר ,GINNOSAR 
גיתה ,GITTA 
גיתית ,GITTIT 
גבעת אבני ,GIV'AT AVNI 
גבעת ברנר ,GIV'AT BRENNER 
גבעת אלה ,GIV'AT ELA 
גבעת השלושה ,GIV'AT HASHELOSHA 
גבעת חיים (איחוד) ,GIV'AT HAYYIM (IHUD) 
גבעת חיים (מאוחד) ,GIV'AT HAYYIM(ME'UHA 
"גבעת ח""ן ",GIV'AT HEN 
"גבעת כ""ח ",GIV'AT KOAH 
"גבעת ניל""י ",GIV'AT NILI 
גבעת עוז ,GIV'AT OZ 
גבעת שפירא ,GIV'AT SHAPPIRA 
גבעת שמש ,GIV'AT SHEMESH 
גבעת שמואל ,GIV'AT SHEMU'EL 
גבעת יערים ,GIV'AT YE'ARIM 
גבעת ישעיהו ,GIV'AT YESHA'YAHU 
גבעת יואב ,GIV'AT YO'AV 
גבעת זאב ,GIV'AT ZE'EV 
גבעתיים ,GIV'ATAYIM 
גבעתי ,GIV'ATI 
גבעולים ,GIV'OLIM 
גבעון החדשה ,GIV'ON HAHADASHA 
גבעות עדן ,GIV'OT EDEN 
גיזו ,GIZO 
גונן ,GONEN 
גורן ,GOREN 
גורנות הגליל ,GORNOT HAGALIL 
הבונים ,HABONIM 
חד-נס ,HAD-NES 
הדר עם ,HADAR AM 
חדרה ,HADERA 
חדיד ,HADID 
חפץ חיים ,HAFEZ HAYYIM 
חגי ,HAGGAI 
חגור ,HAGOR 
הגושרים ,HAGOSHERIM 
החותרים ,HAHOTERIM 
חיפה ,HAIFA 
חלוץ ,HALUZ 
המעפיל ,HAMA'PIL 
חמדיה ,HAMADYA 
חמאם ,HAMAM 
חמרה ,HAMRA 
חניתה ,HANITA 
חנתון ,HANNATON 
חניאל ,HANNI'EL 
העוגן ,HAOGEN 
האון ,HAON 
הר אדר ,HAR ADAR 
הר עמשא ,HAR AMASA 
הר גילה ,HAR GILLO 
הראל ,HAR'EL 
הררית ,HARARIT 
חרשים ,HARASHIM 
הרדוף ,HARDUF 
חריש ,HARISH 
חרוצים ,HARUZIM 
חשמונאים ,HASHMONA'IM 
הסוללים ,HASOLELIM 
חספין ,HASPIN 
חבצלת השרון ,HAVAZZELET HASHARON 
הוואשלה (שבט) ,HAWASHLA 
היוגב ,HAYOGEV 
חצב ,HAZAV 
חצרים ,HAZERIM 
חצבה ,HAZEVA 
חזון ,HAZON 
חצור הגלילית ,HAZOR HAGELILIT 
חצור-אשדוד ,HAZOR-ASHDOD 
הזורעים ,HAZORE'IM 
הזורע ,HAZOREA 
חפצי-בה ,HEFZI-BAH 
חלץ ,HELEZ 
חמד ,HEMED 
חרב לאת ,HEREV LE'ET 
חרמש ,HERMESH 
חירות ,HERUT 
הרצליה ,HERZELIYYA 
חבר ,HEVER 
חיבת ציון ,HIBBAT ZIYYON 
הילה ,HILLA 
חיננית ,HINNANIT 
הוד השרון ,HOD HASHARON 
הודיות ,HODAYOT 
הודיה ,HODIYYA 
חופית ,HOFIT 
חגלה ,HOGLA 
חולית ,HOLIT 
חולון ,HOLON 
חורשים ,HORESHIM 
חוסן ,HOSEN 
הושעיה ,HOSHA'AYA 
חוג'ייראת (ד'הרה) ,HUJEIRAT (DAHRA) 
חולתה ,HULATA 
חולדה ,HULDA 
חוקוק ,HUQOQ 
חורה ,HURA 
חורפיש ,HURFEISH 
חוסנייה ,HUSSNIYYA 
הוזייל (שבט) ,HUZAYYEL 
אעבלין ,I'BILLIN 
איבים ,IBBIM 
אבטין ,IBTIN 
עידן ,IDDAN 
אכסאל ,IKSAL 
אילניה ,ILANIYYA 
עילוט ,ILUT 
עמנואל ,IMMANU'EL 
עיר אובות ,IR OVOT 
אירוס ,IRUS 
עספיא ,ISIFYA 
איתמר ,ITAMAR 
ג'ת ,JAAT 
ג'לג'וליה ,JALJULYE 
ירושלים ,JERUSALEM 
ג'ש (גוש חלב) ,JISH(GUSH HALAV) 
ג'סר א-זרקא ,JISR AZ-ZARQA 
ג'דיידה-מכר ,JUDEIDE-MAKER 
ג'ולס ,JULIS 
ג'נאביב (שבט) ,JUNNABIB 
כעביה-טבאש-חג'אג'רה ,KA'ABIYYE-TABBASH-HA 
כברי ,KABRI 
כאבול ,KABUL 
כדיתה ,KADDITA 
כדורי ,KADOORIE 
כפר ברא ,KAFAR BARA 
כפר כמא ,KAFAR KAMA 
כפר כנא ,KAFAR KANNA 
כפר מנדא ,KAFAR MANDA 
כפר מצר ,KAFAR MISR 
כפר קרע ,KAFAR QARA 
כפר קאסם ,KAFAR QASEM 
כפר יאסיף ,KAFAR YASIF 
כחל ,KAHAL 
כלנית ,KALLANIT 
כמון ,KAMMON 
כנף ,KANAF 
כנות ,KANNOT 
כאוכב אבו אל-היג'א ,KAOKAB ABU AL-HIJA 
כרי דשא ,KARE DESHE 
כרכום ,KARKOM 
כרמי קטיף ,KARME QATIF 
כרמי יוסף ,KARME YOSEF 
כרמי צור ,KARME ZUR 
כרמל ,KARMEL 
כרמיאל ,KARMI'EL 
כרמיה ,KARMIYYA 
כפר אדומים ,KEFAR ADUMMIM 
כפר אחים ,KEFAR AHIM 
כפר אביב ,KEFAR AVIV 
כפר עבודה ,KEFAR AVODA 
כפר עזה ,KEFAR AZZA 
כפר ברוך ,KEFAR BARUKH 
כפר ביאליק ,KEFAR BIALIK 
"כפר ביל""ו ",KEFAR BILU 
כפר בן נון ,KEFAR BIN NUN 
כפר בלום ,KEFAR BLUM 
כפר דניאל ,KEFAR DANIYYEL 
כפר עציון ,KEFAR EZYON 
כפר גלים ,KEFAR GALLIM 
כפר גדעון ,KEFAR GID'ON 
כפר גלעדי ,KEFAR GIL'ADI 
כפר גליקסון ,KEFAR GLIKSON 
"כפר חב""ד ",KEFAR HABAD 
כפר החורש ,KEFAR HAHORESH 
כפר המכבי ,KEFAR HAMAKKABI 
כפר הנגיד ,KEFAR HANAGID 
כפר חנניה ,KEFAR HANANYA 
כפר הנשיא ,KEFAR HANASI 
כפר הנוער הדתי ,KEFAR HANO'AR HADATI 
כפר האורנים ,KEFAR HAORANIM 
"כפר הרי""ף ",KEFAR HARIF 
"כפר הרא""ה ",KEFAR HARO'E 
כפר חרוב ,KEFAR HARUV 
כפר חסידים א' ,KEFAR HASIDIM ALEF 
כפר חסידים ב' ,KEFAR HASIDIM BET 
כפר חיים ,KEFAR HAYYIM 
כפר הס ,KEFAR HESS 
כפר חיטים ,KEFAR HITTIM 
כפר חושן ,KEFAR HOSHEN 
כפר קיש ,KEFAR KISH 
"כפר מל""ל ",KEFAR MALAL 
כפר מסריק ,KEFAR MASARYK 
כפר מימון ,KEFAR MAYMON 
כפר מנחם ,KEFAR MENAHEM 
כפר מונש ,KEFAR MONASH 
כפר מרדכי ,KEFAR MORDEKHAY 
כפר נטר ,KEFAR NETTER 
כפר פינס ,KEFAR PINES 
כפר ראש הנקרה ,KEFAR ROSH HANIQRA 
כפר רוזנואלד (זרעית) ,KEFAR ROZENWALD(ZAR. 
כפר רופין ,KEFAR RUPPIN 
כפר רות ,KEFAR RUT 
כפר סבא ,KEFAR SAVA 
כפר שמאי ,KEFAR SHAMMAY 
כפר שמריהו ,KEFAR SHEMARYAHU 
כפר שמואל ,KEFAR SHEMU'EL 
כפר סילבר ,KEFAR SILVER 
כפר סירקין ,KEFAR SIRKIN 
כפר סאלד ,KEFAR SZOLD 
כפר תפוח ,KEFAR TAPPUAH 
כפר תבור ,KEFAR TAVOR 
כפר טרומן ,KEFAR TRUMAN 
כפר אוריה ,KEFAR URIYYA 
כפר ויתקין ,KEFAR VITKIN 
כפר ורבורג ,KEFAR WARBURG 
כפר ורדים ,KEFAR WERADIM 
כפר יעבץ ,KEFAR YA'BEZ 
כפר יחזקאל ,KEFAR YEHEZQEL 
כפר יהושע ,KEFAR YEHOSHUA 
כפר יונה ,KEFAR YONA 
כפר זיתים ,KEFAR ZETIM 
כפר זוהרים ,KEFAR ZOHARIM 
כליל ,KELIL 
כמהין ,KEMEHIN 
כרמים ,KERAMIM 
כרם בן שמן ,KEREM BEN SHEMEN 
כרם בן זמרה ,KEREM BEN ZIMRA 
כרם ביבנה (ישיבה) ,KEREM BEYAVNE 
"כרם מהר""ל ",KEREM MAHARAL 
כרם שלום ,KEREM SHALOM 
כסלון ,KESALON 
ח'ואלד ,KHAWALED 
ח'ואלד (שבט) ,KHAWALED 
כנרת (מושבה) ,KINNERET(MOSHAVA) 
כנרת (קבוצה) ,KINNERET(QEVUZA) 
כישור ,KISHOR 
כסרא-סמיע ,KISRA-SUMEI 
כיסופים ,KISSUFIM 
כחלה ,KOCHLEA 
כוכב השחר ,KOKHAV HASHAHAR 
כוכב מיכאל ,KOKHAV MIKHA'EL 
כוכב יעקב ,KOKHAV YA'AQOV 
כוכב יאיר ,KOKHAV YA'IR 
כורזים ,KORAZIM 
כסיפה ,KUSEIFE 
להב ,LAHAV 
להבות הבשן ,LAHAVOT HABASHAN 
להבות חביבה ,LAHAVOT HAVIVA 
לכיש ,LAKHISH 
לפיד ,LAPPID 
לפידות ,LAPPIDOT 
לקיה ,LAQYE 
לביא ,LAVI 
לבון ,LAVON 
להבים ,LEHAVIM 
שריגים (לי-און) ,LI-ON 
לימן ,LIMAN 
לבנים ,LIVNIM 
לוד ,LOD 
לוחמי הגיטאות ,LOHAME HAGETA'OT 
לוטן ,LOTAN 
לוטם ,LOTEM 
לוזית ,LUZIT 
מעגן ,MA'AGAN 
מעגן מיכאל ,MA'AGAN MIKHA'EL 
מעלה אדומים ,MA'ALE ADUMMIM 
מעלה עמוס ,MA'ALE AMOS 
מעלה אפרים ,MA'ALE EFRAYIM 
מעלה גמלא ,MA'ALE GAMLA 
מעלה גלבוע ,MA'ALE GILBOA 
מעלה החמישה ,MA'ALE HAHAMISHA 
מעלה עירון ,MA'ALE IRON 
מעלה לבונה ,MA'ALE LEVONA 
מעלה מכמש ,MA'ALE MIKHMAS 
מעלות-תרשיחא ,MA'ALOT-TARSHIHA 
מענית ,MA'ANIT 
מעש ,MA'AS 
מעברות ,MA'BAROT 
מעגלים ,MA'GALIM 
מעון ,MA'ON 
מאור ,MA'OR 
מעוז חיים ,MA'OZ HAYYIM 
מעין ברוך ,MA'YAN BARUKH 
מעין צבי ,MA'YAN ZEVI 
מבועים ,MABBU'IM 
מגן ,MAGEN 
מגן שאול ,MAGEN SHA'UL 
מגל ,MAGGAL 
מגשימים ,MAGSHIMIM 
מחניים ,MAHANAYIM 
צוקים ,MAHANE BILDAD 
מחנה הילה ,MAHANE HILLA 
מחנה מרים ,MAHANE MIRYAM 
מחנה טלי ,MAHANE TALI 
מחנה תל נוף ,MAHANE TEL NOF 
מחנה יפה ,MAHANE YAFA 
מחנה יתיר ,MAHANE YATTIR 
מחנה יהודית ,MAHANE YEHUDIT 
מחנה יוכבד ,MAHANE YOKHVED 
מחסיה ,MAHSEYA 
מג'ד אל-כרום ,MAJD AL-KURUM 
מג'דל שמס ,MAJDAL SHAMS 
מכחול ,MAKCHUL 
מלכיה ,MALKIYYA 
מנוף ,MANOF 
מנות ,MANOT 
מנשית זבדה ,MANSHIYYET ZABDA 
מרגליות ,MARGALIYYOT 
מסעדה ,MAS'ADE 
מסעודין אל-עזאזמה ,MAS'UDIN AL-'AZAZME 
משאבי שדה ,MASH'ABBE SADE 
משען ,MASH'EN 
משכיות ,MASKIYYOT 
מסלול ,MASLUL 
מסד ,MASSAD 
מסדה ,MASSADA 
משואה ,MASSU'A 
משואות יצחק ,MASSUOT YIZHAQ 
מטע ,MATTA 
מתן ,MATTAN 
מתת ,MATTAT 
מתתיהו ,MATTITYAHU 
מבקיעים ,MAVQI'IM 
מזכרת בתיה ,MAZKERET BATYA 
מצליח ,MAZLIAH 
מזור ,MAZOR 
מזרעה ,MAZRA'A 
מצובה ,MAZZUVA 
מי עמי ,ME AMMI 
מאיר שפיה ,ME'IR SHEFEYA 
מעונה ,ME'ONA 
מפלסים ,MEFALLESIM 
מגדים ,MEGADIM 
מגידו ,MEGIDDO 
מחולה ,MEHOLA 
מייסר ,MEISER 
מכורה ,MEKHORA 
מלאה ,MELE'A 
מלילות ,MELILOT 
מנחמיה ,MENAHEMYA 
מנרה ,MENNARA 
מנוחה ,MENUHA 
מירב ,MERAV 
מרחב עם ,MERHAV AM 
מרחביה (מושב) ,MERHAVYA(MOSHAV) 
מרחביה (קיבוץ) ,MERHAVYA(QIBBUZ) 
מרכז שפירא ,MERKAZ SHAPPIRA 
מרום גולן ,MEROM GOLAN 
מירון ,MERON 
מישר ,MESHAR 
משהד ,MESHHED 
מסילת ציון ,MESILLAT ZIYYON 
מסילות ,MESILLOT 
מיטל ,METAL 
מיתר ,METAR 
מיטב ,METAV 
מטולה ,METULA 
מבשרת ציון ,MEVASSERET ZIYYON 
מבוא ביתר ,MEVO BETAR 
מבוא דותן ,MEVO DOTAN 
מבוא חמה ,MEVO HAMMA 
מבוא חורון ,MEVO HORON 
מבוא מודיעים ,MEVO MODI'IM 
מבואות ים ,MEVO'OT YAM 
מבואות יריחו ,MEVO'OT YERIHO 
מצדות יהודה ,MEZADOT YEHUDA 
מיצר ,MEZAR 
מצר ,MEZER 
מעיליא ,MI'ELYA 
מדרך עוז ,MIDRAKH OZ 
מדרשת בן גוריון ,MIDRESHET BEN GURION 
מדרשת רופין ,MIDRESHET RUPPIN 
מגדל ,MIGDAL 
מגדל העמק ,MIGDAL HAEMEQ 
מגדל עוז ,MIGDAL OZ 
מגדלים ,MIGDALIM 
מכמנים ,MIKHMANNIM 
מכמורת ,MIKHMORET 
מקווה ישראל ,MIQWE YISRA'EL 
משגב עם ,MISGAV AM 
משגב דב ,MISGAV DOV 
משמר איילון ,MISHMAR AYYALON 
משמר דוד ,MISHMAR DAWID 
משמר העמק ,MISHMAR HAEMEQ 
משמר הנגב ,MISHMAR HANEGEV 
משמר השרון ,MISHMAR HASHARON 
משמר השבעה ,MISHMAR HASHIV'A 
משמר הירדן ,MISHMAR HAYARDEN 
משמרות ,MISHMAROT 
משמרת ,MISHMERET 
מצפה אילן ,MITSPE ILAN 
מבטחים ,MIVTAHIM 
מצפה ,MIZPA 
"מצפה אבי""ב ",MIZPE AVIV 
מצפה נטופה ,MIZPE NETOFA 
מצפה רמון ,MIZPE RAMON 
מצפה שלם ,MIZPE SHALEM 
מצפה יריחו ,MIZPE YERIHO 
מזרע ,MIZRA 
מודיעין עילית ,MODI'IN ILLIT 
מודיעין-מכבים-רעות ,MODI'IN-MAKKABBIM-RE 
מולדת ,MOLEDET 
מורן ,MORAN 
מורשת ,MORESHET 
מוצא עילית ,MOZA ILLIT 
מגאר ,MUGHAR 
מוקייבלה ,MUQEIBLE 
נעלה ,NA'ALE 
נען ,NA'AN 
נערן ,NA'ARAN 
נאעורה ,NA'URA 
"נעמ""ה ",NAAMA 
אשבל ,NAHAL ESHBAL 
חמדת ,NAHAL HEMDAT 
נחל עוז ,NAHAL OZ 
שיטים ,NAHAL SHITTIM 
נחלה ,NAHALA 
נהלל ,NAHALAL 
נחליאל ,NAHALI'EL 
נחם ,NAHAM 
נהריה ,NAHARIYYA 
נחף ,NAHEF 
נחשולים ,NAHSHOLIM 
נחשון ,NAHSHON 
נחשונים ,NAHSHONIM 
נצאצרה (שבט) ,NASASRA 
נטף ,NATAF 
נטור ,NATUR 
נווה ,NAVE 
נצרת ,NAZARETH 
נאות גולן ,NE'OT GOLAN 
